CHR	START	END	Symbol
chr11	130298704	130299005	ADAMTS8
chr14	24803872	24804173	ADCY4
chr6	151560831	151561132	AKAP12
chr1	145562667	145562968	ANKRD35
chr12	63544280	63544581	AVPR1A
chr17	6926119	6926420	BCL6B
chr2	106681823	106682276	C2orf40
chr19	46916868	46917169	CCDC8
chr14	38724795	38725096	CLEC14A
chr13	100548363	100548664	CLYBL
chr21	27945263	27945564	CYYR1
chr5	158527557	158527858	EBF1
chr20	57875975	57876276	EDN3
chr11	128564606	128564907	FLI1
chr18	11751416	11751717	GNAL
chr12	52401298	52401599	GRASP
chr2	176986509	176986810	HOXD9
chr19	36247373	36247674	HSPB6
chr1	38412594	38412895	INPP5B
chr3	13115018	13115319	IQSEC1
chr11	30038535	30038836	KCNA4
chr13	33590980	33591281	KL
chr7	127881130	127881431	LEP
chr14	75078133	75078434	LTBP2
chr5	115298570	115298871	LVRN
chr11	64815492	64815793	NAALADL1
chr6	28226941	28227242	NKAPL
chr1	200009680	200009981	NR5A2
chr12	54954187	54954488	PDE1B
chr1	156863493	156863794	PEAR1
chr20	37434017	37434318	PPP1R16B
chr1	2990340	2990641	PRDM16
chr3	61550419	61550720	PTPRG
chr7	150038748	150039049	RARRES2
chr11	118024189	118024490	SCN4B
chr14	38680163	38680464	SSTR1
chr1	47695325	47695626	TAL1
chr1	119529210	119529511	TBX15
chr6	134210796	134211097	TCF21
chr17	10632711	10633012	TMEM220
chr19	58951958	58952259	ZNF132
chr11	47399777	47400223	SPI1
chr19	3178735	3179184	S1PR4
chr22	42828069	42828533	NFAM1
chr22	30662629	30662898	OSM
chr6	391178	391637	IRF4
chr14	95234459	95234854	GSC
chr6	32551852	32552331	HLA-DRB1
chr1	68517255	68517474	DIRAS3
chr8	65710980	65711301	CYP7B1
chr13	53607892	53608267	OLFM4
